,epoch,train_time,eval_time,train_loss,eval_loss,optimal_eval_loss
0,1,44.31174612045288,0.20100116729736328,0.27631623,0.2933942377567291,0.13727061074083916
1,2,43.24451541900635,0.20014739036560059,0.33176127,0.22125855088233948,0.13727061074083916
2,3,42.92330241203308,0.20499849319458008,0.1736749,0.19387613236904144,0.13727061074083916
3,4,42.66620945930481,0.19500017166137695,0.15621072,0.1912786364555359,0.13727061074083916
4,5,40.753769397735596,0.21200013160705566,0.24274556,0.18575488030910492,0.13727061074083916
5,6,41.420963525772095,0.1959981918334961,0.13778824,0.18061356246471405,0.13727061074083916
6,7,40.78719425201416,0.20099973678588867,0.16093343,0.17801782488822937,0.13727061074083916
7,8,40.81820464134216,0.1939990520477295,0.14676969,0.1715729683637619,0.13727061074083916
8,9,40.72483277320862,0.19501090049743652,0.13159351,0.1588253676891327,0.13727061074083916
9,10,40.77324438095093,0.1939985752105713,0.13018587,0.15562152862548828,0.13727061074083916
