,epoch,train_time,eval_time,train_loss,eval_loss,optimal_eval_loss
0,1,42.080557346343994,0.19845032691955566,0.023710404,0.011687448248267174,0.006736717599051658
1,2,40.57169580459595,0.1939997673034668,0.0138413105,0.010061630979180336,0.006736717599051658
2,3,40.457990407943726,0.23599958419799805,0.012208639,0.009514001198112965,0.006736717599051658
3,4,41.412776470184326,0.1979987621307373,0.010285635,0.009297406300902367,0.006736717599051658
4,5,40.63573741912842,0.1952810287475586,0.010570298,0.008739368058741093,0.006736717599051658
5,6,40.734867811203,0.19667601585388184,0.009972633,0.008417519740760326,0.006736717599051658
6,7,40.73944807052612,0.19296741485595703,0.0103598265,0.008414249867200851,0.006736717599051658
7,8,40.69994592666626,0.19411015510559082,0.010277156,0.008116628974676132,0.006736717599051658
8,9,41.36559581756592,0.20000123977661133,0.0101234475,0.008155702613294125,0.006736717599051658
9,10,40.82580089569092,0.1935107707977295,0.00892088,0.007981414906680584,0.006736717599051658
